year,fgco2,scenario,source
2051,13.703714440185054,ssp585,GFDL-ESM4
2052,14.186562715892547,ssp585,GFDL-ESM4
2053,14.69246785043024,ssp585,GFDL-ESM4
2054,14.635781430185567,ssp585,GFDL-ESM4
2055,15.098568499316789,ssp585,GFDL-ESM4
2056,14.909327134245821,ssp585,GFDL-ESM4
2057,14.862994054107427,ssp585,GFDL-ESM4
2058,15.59329847845547,ssp585,GFDL-ESM4
2059,15.970823439624663,ssp585,GFDL-ESM4
2060,15.896181737749343,ssp585,GFDL-ESM4
2061,15.583294094181129,ssp585,GFDL-ESM4
2062,16.744811976052947,ssp585,GFDL-ESM4
2063,16.056645857902982,ssp585,GFDL-ESM4
2064,16.543231284780877,ssp585,GFDL-ESM4
2065,16.963606914513758,ssp585,GFDL-ESM4
2066,16.82316202165825,ssp585,GFDL-ESM4
2067,16.83214766679824,ssp585,GFDL-ESM4
2068,16.789891079553314,ssp585,GFDL-ESM4
2069,16.79831320168749,ssp585,GFDL-ESM4
2070,16.977465736638628,ssp585,GFDL-ESM4
2071,17.66933624587904,ssp585,GFDL-ESM4
2072,16.990600409083367,ssp585,GFDL-ESM4
2073,17.359880335080764,ssp585,GFDL-ESM4
2074,18.231328339786124,ssp585,GFDL-ESM4
2075,17.676871859600578,ssp585,GFDL-ESM4
2076,17.204807438552702,ssp585,GFDL-ESM4
2077,17.462144811799327,ssp585,GFDL-ESM4
2078,17.775743491064166,ssp585,GFDL-ESM4
2079,18.09260641275525,ssp585,GFDL-ESM4
2080,18.23172140599327,ssp585,GFDL-ESM4
2081,18.243066718736472,ssp585,GFDL-ESM4
2082,18.267971210125523,ssp585,GFDL-ESM4
2083,17.439668770777573,ssp585,GFDL-ESM4
2084,18.057286539189874,ssp585,GFDL-ESM4
2085,17.667107886728605,ssp585,GFDL-ESM4
2086,17.902006504051236,ssp585,GFDL-ESM4
2087,18.03042056642745,ssp585,GFDL-ESM4
2088,17.57818654606163,ssp585,GFDL-ESM4
2089,17.446359573197853,ssp585,GFDL-ESM4
